Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
@SinEmbargoMX Otro gringo rojo ratero vendiendo espejuelos sin valor. #gringoGoHome #AmloVeteYa #IrmaCorrupta,Sun Jun 21 19:51:15 +0000 2020,Nuevo León,General Escobedo,R,-100.3652735,25.807314499999997,1682
Blanquita de pelo rizo y espejuelos que hipnotizan bebeeeee🙋🏻‍♀️,Thu Jul 02 08:37:10 +0000 2020,Sinaloa,Ahome,R,-109.1037265,25.921946500000004,308
Regresando de recoger mis espejuelos en óptica Lozano (sur 24 #255) 🤓🤘🏼 atendida por el buen ojologo javierlozsan s… https://t.co/E0a1qXSdzj,Tue Jul 21 23:17:26 +0000 2020,Ciudad de México,Iztacalco,U,-99.09649599999999,19.399101,404695
Gafas. Anteojos. Lentes. Espejuelos. Quevedos. Ulleres. Tienen tantos  nombres como las posibilidades que ofrecen d… https://t.co/BfAKjgqHNX,Tue Aug 18 03:36:56 +0000 2020,Ciudad de México,Cuauhtémoc,U,-99.153366,19.432836,545884
@Angelika885 Que bonitos espejuelos,Sun Aug 23 16:03:34 +0000 2020,Veracruz de Ignacio de la Llave,Cosamaloapan de Carpio,R,-95.97694049999998,18.2812695,0
"El de los espejuelos, llamaba Don José Luis Enríquez Valle en su crónica radial a Mike Eden, el short stop Ostioner… https://t.co/1hKyDqBKuW",Sat Sep 05 06:10:49 +0000 2020,Sonora,Empalme,R,-110.72232699999999,27.8836995,1
"Recuerdo a ver conocido unos espejuelos de su propiedad en casa del actor ya fallecido Dn. Antonio Corona, parte de… https://t.co/62SMGrlknB",Tue Sep 08 10:41:47 +0000 2020,Guanajuato,Guanajuato,R,-101.250134,21.0254965,0
Espejuelos de Mahatma Gandhi https://t.co/GwbhuUSgXG (vía ElUniversal) https://t.co/dquAu6zxFL,Fri Sep 11 10:07:35 +0000 2020,Ciudad de México,Benito Juárez,U,-99.1614805,19.380613,434153
"@RicardoBSalinas @zerjiop @sszzzzzzzzzzzzs Desafortunadamente no tenia mis espejuelos puestos, y no vi bien las let… https://t.co/ygdR1wxeJP",Fri Jan 22 18:57:02 +0000 2021,México,Nezahualcóyotl,R,-99.087817,19.4320755,0
Siempre lleva un nasobuco de respuesta por si te hace falta limpiar los espejuelos,Mon Feb 01 02:29:55 +0000 2021,Quintana Roo,Puerto Morelos,R,-87.0316645,21.048719,0
Siempre lleva un nasobuco de repuesto x si necesitas limpiar los espejuelos .,Mon Feb 01 02:35:22 +0000 2021,Quintana Roo,Puerto Morelos,R,-87.0316645,21.048719,0
"@CarmenLDN En ""Los Espejuelos"", super recomendados 🤓",Wed Apr 28 00:25:18 +0000 2021,Puebla,Amozoc,R,-98.1542665,19.0322295,616
"Quien lo diría, me convertí en el ratón con espejuelos",Fri Apr 30 23:13:34 +0000 2021,Veracruz de Ignacio de la Llave,Orizaba,R,-97.112844,18.856709,61
@Ayala06337960 Un ratón con espejuelos... 😅,Sun Jan 30 20:06:25 +0000 2022,Querétaro,San Juan del Río,U,-100.014785,20.388074500000002,177719
"@medidorderuidos Ay, yo la conocía como: el ratón con espejuelos, la jirafa con su chal.",Sat Feb 05 19:04:53 +0000 2022,Guanajuato,San Luis de la Paz,R,-100.4740435,21.38042,1
@AristeguiOnline AMLO ofrece ayuda? Él se va a poner el gorro y los espejuelos de Sherlock Holmes para él mismo acl… https://t.co/YFxymtpiOo,Sat Apr 23 13:31:02 +0000 2022,Veracruz de Ignacio de la Llave,Misantla,R,-96.8711,19.956882,0
"Aquí estrenando espejuelos y mirando mejor el mundo 🥰
#glasses👓 en Piedras Negras, Veracruz-Llave, Mexico https://t.co/hO2zhLkNji",Tue Jul 12 14:19:17 +0000 2022,Veracruz de Ignacio de la Llave,Tlalixcoyan,R,-96.2065065,18.7718455,4
Espejuelos nuevos 🤭,Wed Sep 21 23:27:38 +0000 2022,Tabasco,Nacajuca,R,-92.9164995,18.0219595,432
Blanquita de pelo rizo y espejuelos que hipnotizan,Wed Oct 05 03:40:05 +0000 2022,Baja California,Playas de Rosarito,R,-116.929102,32.3328765,5
@andresguzbj Espejuelos,Tue Oct 18 19:44:35 +0000 2022,Guanajuato,Guanajuato,R,-101.250134,21.0254965,0
@andresguzbj espejuelos?,Tue Oct 18 22:14:18 +0000 2022,Ciudad de México,Iztapalapa,U,-99.050461,19.342788499999997,1835486
Españoles cambiando tierras por biblias y espejuelos desde el renacimiento hasta nuestro siglo XXI con energías lim… https://t.co/1pr2odvDKW,Sat Oct 29 18:51:47 +0000 2022,Veracruz de Ignacio de la Llave,Xalapa,R,-96.886083,19.542054,0
Españoles cambiando tierras por biblias y espejuelos desde el renacimiento hasta nuestro siglo XXI con energías lim… https://t.co/axQe9cBhJT,Sat Oct 29 18:53:27 +0000 2022,Veracruz de Ignacio de la Llave,Xalapa,R,-96.886083,19.542054,0
